"date";"rain";"raincorrected";"dateCEST";"monthyear";"dia";"finde"
"16/07/2015";0;0;2015-07-16;"15-julio";"jueves";"no"
"17/07/2015";0;0;2015-07-17;"15-julio";"viernes";"no"
"18/07/2015";0;0;2015-07-18;"15-julio";"sábado";"si"
"19/07/2015";0;0;2015-07-19;"15-julio";"domingo";"si"
"20/07/2015";0;0;2015-07-20;"15-julio";"lunes";"no"
"21/07/2015";0;0;2015-07-21;"15-julio";"martes";"no"
"22/07/2015";0;0;2015-07-22;"15-julio";"miércoles";"no"
"23/07/2015";0;0;2015-07-23;"15-julio";"jueves";"no"
"24/07/2015";0;0;2015-07-24;"15-julio";"viernes";"no"
"25/07/2015";0;0;2015-07-25;"15-julio";"sábado";"si"
"26/07/2015";0.2;0.2;2015-07-26;"15-julio";"domingo";"si"
"27/07/2015";0;0;2015-07-27;"15-julio";"lunes";"no"
"28/07/2015";3.6;3.6;2015-07-28;"15-julio";"martes";"no"
"29/07/2015";1;1;2015-07-29;"15-julio";"miércoles";"no"
"30/07/2015";0;0;2015-07-30;"15-julio";"jueves";"no"
"31/07/2015";0;0;2015-07-31;"15-julio";"viernes";"no"
"01/08/2015";0;0;2015-08-01;"15-julio";"sábado";"si"
"02/08/2015";0;0;2015-08-02;"15-agosto";"domingo";"si"
"03/08/2015";0;0;2015-08-03;"15-agosto";"lunes";"no"
"04/08/2015";0;0;2015-08-04;"15-agosto";"martes";"no"
"05/08/2015";0;0;2015-08-05;"15-agosto";"miércoles";"no"
"06/08/2015";0;0;2015-08-06;"15-agosto";"jueves";"no"
"07/08/2015";0;0;2015-08-07;"15-agosto";"viernes";"no"
"08/08/2015";0;0;2015-08-08;"15-agosto";"sábado";"si"
"09/08/2015";0;0;2015-08-09;"15-agosto";"domingo";"si"
"10/08/2015";0;0;2015-08-10;"15-agosto";"lunes";"no"
"11/08/2015";0;0;2015-08-11;"15-agosto";"martes";"no"
"12/08/2015";0;0;2015-08-12;"15-agosto";"miércoles";"no"
"13/08/2015";6.8;6.8;2015-08-13;"15-agosto";"jueves";"no"
"14/08/2015";4;4;2015-08-14;"15-agosto";"viernes";"no"
"15/08/2015";0.8;0.8;2015-08-15;"15-agosto";"sábado";"si"
"16/08/2015";1.2;1.2;2015-08-16;"15-agosto";"domingo";"si"
"17/08/2015";1.4;1.4;2015-08-17;"15-agosto";"lunes";"no"
"18/08/2015";0;0;2015-08-18;"15-agosto";"martes";"no"
"19/08/2015";0;0;2015-08-19;"15-agosto";"miércoles";"no"
"20/08/2015";0.2;0.2;2015-08-20;"15-agosto";"jueves";"no"
"21/08/2015";0;0;2015-08-21;"15-agosto";"viernes";"no"
"22/08/2015";2.2;2.2;2015-08-22;"15-agosto";"sábado";"si"
"23/08/2015";1;1;2015-08-23;"15-agosto";"domingo";"si"
"24/08/2015";0.2;0.2;2015-08-24;"15-agosto";"lunes";"no"
"25/08/2015";0;0;2015-08-25;"15-agosto";"martes";"no"
"26/08/2015";29.8;29.8;2015-08-26;"15-agosto";"miércoles";"no"
"27/08/2015";14.4;14.4;2015-08-27;"15-agosto";"jueves";"no"
"28/08/2015";5.2;5.2;2015-08-28;"15-agosto";"viernes";"no"
"29/08/2015";0;0;2015-08-29;"15-agosto";"sábado";"si"
"30/08/2015";0.2;0.2;2015-08-30;"15-agosto";"domingo";"si"
"31/08/2015";3.6;3.6;2015-08-31;"15-agosto";"lunes";"no"
"01/09/2015";0;0;2015-09-01;"15-agosto";"martes";"no"
"02/09/2015";0;0;2015-09-02;"15-septiembre";"miércoles";"no"
"03/09/2015";0;0;2015-09-03;"15-septiembre";"jueves";"no"
"04/09/2015";0;0;2015-09-04;"15-septiembre";"viernes";"no"
"05/09/2015";0;0;2015-09-05;"15-septiembre";"sábado";"si"
"06/09/2015";0;0;2015-09-06;"15-septiembre";"domingo";"si"
"07/09/2015";0;0;2015-09-07;"15-septiembre";"lunes";"no"
"08/09/2015";0;0;2015-09-08;"15-septiembre";"martes";"no"
"09/09/2015";0.6;0.6;2015-09-09;"15-septiembre";"miércoles";"no"
"10/09/2015";0;0;2015-09-10;"15-septiembre";"jueves";"no"
"11/09/2015";5;5;2015-09-11;"15-septiembre";"viernes";"no"
"12/09/2015";1.6;1.6;2015-09-12;"15-septiembre";"sábado";"si"
"13/09/2015";3.8;3.8;2015-09-13;"15-septiembre";"domingo";"si"
"14/09/2015";5.2;5.2;2015-09-14;"15-septiembre";"lunes";"no"
"15/09/2015";14.6;14.6;2015-09-15;"15-septiembre";"martes";"no"
"16/09/2015";4.8;4.8;2015-09-16;"15-septiembre";"miércoles";"no"
"17/09/2015";0.2;0.2;2015-09-17;"15-septiembre";"jueves";"no"
"18/09/2015";0;0;2015-09-18;"15-septiembre";"viernes";"no"
"19/09/2015";0;0;2015-09-19;"15-septiembre";"sábado";"si"
