"edad","tiempo","fecha"
"(0,18]",1285.96000003815,"16/07/2015"
"(18,30]",139308.472999096,"16/07/2015"
"(30,45]",383454.971999168,"16/07/2015"
"(45,60]",412258.224000454,"16/07/2015"
"(60,Inf]",140878.94500041,"16/07/2015"
"(0,18]",1282.12599992752,"17/07/2015"
"(18,30]",126511.291000128,"17/07/2015"
"(30,45]",369367.073999166,"17/07/2015"
"(45,60]",267828.60099721,"17/07/2015"
"(60,Inf]",100559.177000046,"17/07/2015"
"(0,18]",7212.26399970055,"18/07/2015"
"(18,30]",66621.1720001698,"18/07/2015"
"(30,45]",296683.095000029,"18/07/2015"
"(45,60]",226156.47299695,"18/07/2015"
"(60,Inf]",134361.809001207,"18/07/2015"
"(0,18]",3876.34699988365,"19/07/2015"
"(18,30]",116358.445999861,"19/07/2015"
"(30,45]",309702.641000986,"19/07/2015"
"(45,60]",201722.928998947,"19/07/2015"
"(60,Inf]",95151.7869985104,"19/07/2015"
"(0,18]",13638.2420003414,"20/07/2015"
"(18,30]",132874.830000639,"20/07/2015"
"(30,45]",415766.038999796,"20/07/2015"
"(45,60]",328090.143001795,"20/07/2015"
"(60,Inf]",140817.51099968,"20/07/2015"
"(0,18]",4542.93299984932,"21/07/2015"
"(18,30]",188506.954000235,"21/07/2015"
"(30,45]",407011.86500144,"21/07/2015"
"(45,60]",377144.611999989,"21/07/2015"
"(60,Inf]",154493.648000002,"21/07/2015"
"(0,18]",70009.5799999237,"22/07/2015"
"(18,30]",185543.105000496,"22/07/2015"
"(30,45]",393211.188000917,"22/07/2015"
"(45,60]",474614.495996237,"22/07/2015"
"(60,Inf]",195269.879000425,"22/07/2015"
"(0,18]",5269.30999994278,"23/07/2015"
"(18,30]",157999.174999475,"23/07/2015"
"(30,45]",462222.400995731,"23/07/2015"
"(45,60]",368109.527000189,"23/07/2015"
"(60,Inf]",156146.989001513,"23/07/2015"
"(0,18]",584.024000167847,"24/07/2015"
"(18,30]",75625.8310010433,"24/07/2015"
"(30,45]",248041.766000032,"24/07/2015"
"(45,60]",269115.109999418,"24/07/2015"
"(60,Inf]",81038.0529994965,"24/07/2015"
"(18,30]",62737.2929992676,"25/07/2015"
"(30,45]",274247.342999935,"25/07/2015"
"(45,60]",280730.823999643,"25/07/2015"
"(60,Inf]",133988.948000431,"25/07/2015"
"(18,30]",71520.8579995632,"26/07/2015"
"(30,45]",500790.486001253,"26/07/2015"
"(45,60]",141924.825999975,"26/07/2015"
"(60,Inf]",66316.7909998894,"26/07/2015"
"(0,18]",13457.1490004063,"27/07/2015"
"(18,30]",135233.875,"27/07/2015"
"(30,45]",380133.306002855,"27/07/2015"
"(45,60]",298480.979000092,"27/07/2015"
"(60,Inf]",149246.093998194,"27/07/2015"
"(0,18]",7912.84400010109,"28/07/2015"
"(18,30]",135621.638000488,"28/07/2015"
"(30,45]",285049.670001984,"28/07/2015"
"(45,60]",327239.359999895,"28/07/2015"
"(60,Inf]",148094.947999477,"28/07/2015"
"(0,18]",4750.57699990273,"29/07/2015"
"(18,30]",156776.202999592,"29/07/2015"
"(30,45]",316762.782000542,"29/07/2015"
"(45,60]",225598.430000544,"29/07/2015"
"(60,Inf]",89963.6959998608,"29/07/2015"
"(0,18]",3812.37999987602,"30/07/2015"
"(18,30]",152189.22900033,"30/07/2015"
"(30,45]",305781.20600152,"30/07/2015"
"(45,60]",343727.929000378,"30/07/2015"
"(60,Inf]",122750.395000935,"30/07/2015"
"(0,18]",2271.22099971771,"31/07/2015"
"(18,30]",112268.882998466,"31/07/2015"
"(30,45]",281663.370000124,"31/07/2015"
"(45,60]",249506.037000179,"31/07/2015"
"(60,Inf]",107058.705001116,"31/07/2015"
"(0,18]",534.444000005722,"01/08/2015"
"(18,30]",73833.8949995041,"01/08/2015"
"(30,45]",220371.671001196,"01/08/2015"
"(45,60]",179497.261999607,"01/08/2015"
"(60,Inf]",144050.657000065,"01/08/2015"
"(0,18]",2930.97399997711,"02/08/2015"
"(18,30]",73804.2509996891,"02/08/2015"
"(30,45]",298133.947001696,"02/08/2015"
"(45,60]",218916.780000448,"02/08/2015"
"(60,Inf]",123732.830999851,"02/08/2015"
"(0,18]",6790.32800030708,"03/08/2015"
"(18,30]",130354.336997986,"03/08/2015"
"(30,45]",350956.065001011,"03/08/2015"
"(45,60]",282589.299002409,"03/08/2015"
"(60,Inf]",120510.274000406,"03/08/2015"
"(0,18]",5198.79800009727,"04/08/2015"
"(18,30]",133488.363001347,"04/08/2015"
"(30,45]",379715.739001274,"04/08/2015"
"(45,60]",375842.917998791,"04/08/2015"
"(60,Inf]",247658.019999743,"04/08/2015"
"(0,18]",8090.29000020027,"05/08/2015"
"(18,30]",129381.700997353,"05/08/2015"
"(30,45]",238385.126000643,"05/08/2015"
"(45,60]",267156.840000629,"05/08/2015"
"(60,Inf]",141669.697001457,"05/08/2015"
"(0,18]",17755.8580002785,"06/08/2015"
"(18,30]",165381.8869977,"06/08/2015"
"(30,45]",351455.949998617,"06/08/2015"
"(45,60]",390459.940999031,"06/08/2015"
"(60,Inf]",175459.728001118,"06/08/2015"
"(0,18]",19055.2249999046,"07/08/2015"
"(18,30]",113103.863999367,"07/08/2015"
"(30,45]",311570.001000404,"07/08/2015"
"(45,60]",359925.733999014,"07/08/2015"
"(60,Inf]",92525.1360001564,"07/08/2015"
"(0,18]",22866.9569995403,"08/08/2015"
"(18,30]",97667.3530015945,"08/08/2015"
"(30,45]",190094.828001261,"08/08/2015"
"(45,60]",239706.839999437,"08/08/2015"
