"sexo","tiempo","fecha"
"0",657280.353998661,"16/07/2015"
"1",374682.4150002,"16/07/2015"
"0",487602.388998032,"17/07/2015"
"1",253628.212997675,"17/07/2015"
"0",342881.643999815,"18/07/2015"
"1",255399.616998434,"18/07/2015"
"0",450218.32999754,"19/07/2015"
"1",274847.098000765,"19/07/2015"
"0",638414.37000227,"20/07/2015"
"1",398533.383999586,"20/07/2015"
"0",630035.409000158,"21/07/2015"
"1",384626.736001015,"21/07/2015"
"0",771770.780997515,"22/07/2015"
"1",357440.85000062,"22/07/2015"
"0",700232.871997356,"23/07/2015"
"1",401983.007999897,"23/07/2015"
"0",403742.810001135,"24/07/2015"
"1",198258.079999924,"24/07/2015"
"0",398546.499999046,"25/07/2015"
"1",252148.393000364,"25/07/2015"
"0",317542.913000107,"26/07/2015"
"1",140220.667000055,"26/07/2015"
"0",664307.48099947,"27/07/2015"
"1",321099.407002687,"27/07/2015"
"0",597761.970000029,"28/07/2015"
"1",309988.012001753,"28/07/2015"
"0",528774.533997297,"29/07/2015"
"1",269492.645002842,"29/07/2015"
"0",592122.261000872,"30/07/2015"
"1",341935.800002337,"30/07/2015"
"0",467911.099999905,"31/07/2015"
"1",286510.828999043,"31/07/2015"
"0",410217.579001665,"01/08/2015"
"1",207424.259998798,"01/08/2015"
"0",443325.128002167,"02/08/2015"
"1",223667.65299964,"02/08/2015"
"0",548450.753000498,"03/08/2015"
"1",342761.586001158,"03/08/2015"
"0",696642.326999426,"04/08/2015"
"1",410151.236001015,"04/08/2015"
"0",540491.47200346,"05/08/2015"
"1",246085.060997963,"05/08/2015"
"0",769284.964996576,"06/08/2015"
"1",334133.465999603,"06/08/2015"
"0",572950.213999271,"07/08/2015"
"1",289434.394000292,"07/08/2015"
"0",445632.446000576,"08/08/2015"
"1",210282.760000229,"08/08/2015"
"0",404988.01499939,"09/08/2015"
"1",235061.82100153,"09/08/2015"
"0",539024.737001419,"10/08/2015"
"1",255023.726000547,"10/08/2015"
"0",632760.178002357,"11/08/2015"
"1",262151.029997587,"11/08/2015"
"0",590851.750997543,"12/08/2015"
"1",302919.895997524,"12/08/2015"
"0",204265.69299984,"13/08/2015"
"1",81374.4330005646,"13/08/2015"
"0",262141.343999863,"14/08/2015"
"1",129328.023999691,"14/08/2015"
"0",343257.960999727,"15/08/2015"
"1",162107.516999483,"15/08/2015"
"0",264344.301999569,"16/08/2015"
"1",221521.798000574,"16/08/2015"
"0",576040.126000881,"17/08/2015"
"1",287526.855999231,"17/08/2015"
"0",588018.925002575,"18/08/2015"
"1",353183.575997591,"18/08/2015"
"0",549074.846003056,"19/08/2015"
"1",392919.110000372,"19/08/2015"
"0",542224.33200264,"20/08/2015"
"1",342647.396998405,"20/08/2015"
"0",573830.482000828,"21/08/2015"
"1",294795.233002186,"21/08/2015"
"0",291523.503001451,"22/08/2015"
"1",155026.641000271,"22/08/2015"
"0",218604.840999603,"23/08/2015"
"1",94038.8340008259,"23/08/2015"
"0",589929.061000586,"24/08/2015"
"1",303043.885998487,"24/08/2015"
"0",661081.879000425,"25/08/2015"
"1",373293.17300272,"25/08/2015"
"0",309501.526000977,"26/08/2015"
"1",163834.59700036,"26/08/2015"
"0",335185.610996962,"27/08/2015"
"1",138424.815000534,"27/08/2015"
"0",309943.390002012,"28/08/2015"
"1",139760.286999464,"28/08/2015"
"0",385875.140001297,"29/08/2015"
"1",249006.489998817,"29/08/2015"
"0",362264.2760005,"30/08/2015"
"1",351956.12100029,"30/08/2015"
"0",196841.873003244,"31/08/2015"
"1",95867.8559997082,"31/08/2015"
"0",665631.567000628,"01/09/2015"
"1",309305.85799861,"01/09/2015"
"0",560962.028998613,"02/09/2015"
"1",251109.783001184,"02/09/2015"
"0",590736.614000559,"03/09/2015"
"1",269986.980998993,"03/09/2015"
"0",594459.828001022,"04/09/2015"
"1",351454.191999197,"04/09/2015"
"0",405684.257002592,"05/09/2015"
"1",273782.390999794,"05/09/2015"
"0",517708.417999983,"06/09/2015"
"1",225603.094998837,"06/09/2015"
"0",606458.408998013,"07/09/2015"
"1",363413.424999475,"07/09/2015"
"0",651677.679999113,"08/09/2015"
"1",341569.02200222,"08/09/2015"
"0",374674.956002235,"09/09/2015"
"1",211654.819999218,"09/09/2015"
"0",586972.81899929,"10/09/2015"
"1",328514.597001314,"10/09/2015"
"0",445930.270999193,"11/09/2015"
"1",197844.13499999,"11/09/2015"
"0",282107.04999876,"12/09/2015"
"1",183869.990999699,"12/09/2015"
"0",223086.360997915,"13/09/2015"
"1",133525.962999105,"13/09/2015"
"0",555530.862996817,"14/09/2015"
"1",217711.12600112,"14/09/2015"
"0",205056.179999828,"15/09/2015"
"1",75651.9770009518,"15/09/2015"
"0",276042.553001165,"16/09/2015"
"1",91218.6320004463,"16/09/2015"
"0",583895.066999197,"17/09/2015"
"1",239959.266998291,"17/09/2015"
"0",580866.367000103,"18/09/2015"
"1",261037.96900177,"18/09/2015"
"0",475861.227999926,"19/09/2015"
"1",228684.714001179,"19/09/2015"
"0",437857.354999304,"20/09/2015"
"1",325580.505000591,"20/09/2015"
"0",596810.244998455,"21/09/2015"
"1",311707.49900198,"21/09/2015"
"0",450670.314995289,"22/09/2015"
"1",245811.950998306,"22/09/2015"
"0",518830.964001179,"23/09/2015"
"1",258448.870998621,"23/09/2015"
"0",696510.697001696,"24/09/2015"
"1",333908.004999161,"24/09/2015"
"0",578010.373996973,"25/09/2015"
"1",364838.919998169,"25/09/2015"
"0",412928.070998907,"26/09/2015"
"1",328504.478999376,"26/09/2015"
"0",481317.936995983,"27/09/2015"
"1",379781.832999468,"27/09/2015"
"0",617901.35100317,"28/09/2015"
"1",358229.232001066,"28/09/2015"
"0",612480.421996593,"29/09/2015"
"1",337810.206000805,"29/09/2015"
"0",588120.968001842,"30/09/2015"
"1",324796.59499836,"30/09/2015"
"0",633802.8139956,"01/10/2015"
"1",315405.033000469,"01/10/2015"
"0",527484.610998392,"02/10/2015"
"1",257716.062997341,"02/10/2015"
"0",381449.944998026,"03/10/2015"
"1",179464.083001852,"03/10/2015"
"0",283324.211000681,"04/10/2015"
"1",210328.284000158,"04/10/2015"
"0",233755.592999935,"05/10/2015"
"1",155753.810002089,"05/10/2015"
"0",443639.310001373,"06/10/2015"
"1",223223.379999638,"06/10/2015"
"0",509532.196002007,"07/10/2015"
"1",300182.210998058,"07/10/2015"
"0",556585.780003548,"08/10/2015"
"1",330622.536003113,"08/10/2015"
"0",583514.32500124,"09/10/2015"
"1",283159.980002403,"09/10/2015"
"0",251800.036002636,"10/10/2015"
"1",88881.8989992142,"10/10/2015"
"0",225089.869998693,"11/10/2015"
"1",73457.9499998093,"11/10/2015"
"0",348171.559001923,"12/10/2015"
"1",262295.728000402,"12/10/2015"
"0",548161.119000673,"13/10/2015"
"1",318614.438999653,"13/10/2015"
"0",655371.166997194,"14/10/2015"
"1",352509.247001886,"14/10/2015"
"0",571164.77699995,"15/10/2015"
"1",322248.411000252,"15/10/2015"
"0",464436.975003719,"16/10/2015"
"1",225414.151997566,"16/10/2015"
"0",302231.327998161,"17/10/2015"
"1",219786.609999657,"17/10/2015"
"0",321295.468998909,"18/10/2015"
"1",178431.23900032,"18/10/2015"
"0",56016.9129984379,"19/10/2015"
"1",26222.3269996643,"19/10/2015"
"0",534844.816002131,"20/10/2015"
"1",256489.681998968,"20/10/2015"
"0",527539.346996546,"21/10/2015"
"1",363265.78199935,"21/10/2015"
"0",652684.780997515,"22/10/2015"
"1",301646.480000019,"22/10/2015"
"0",573961.279998779,"23/10/2015"
"1",313986.445998907,"23/10/2015"
"0",234426.209998846,"24/10/2015"
"1",107654.595000029,"24/10/2015"
"0",497397.327999115,"25/10/2015"
"1",311545.70699954,"25/10/2015"
"0",253639.848999739,"26/10/2015"
"1",120711.694998741,"26/10/2015"
"0",295836.162002563,"27/10/2015"
"1",155662.944000244,"27/10/2015"
"0",305608.524996519,"28/10/2015"
"1",146827.502999783,"28/10/2015"
"0",291383.157999039,"29/10/2015"
"1",142112.200999737,"29/10/2015"
"0",407296.198999882,"30/10/2015"
"1",239933.734998703,"30/10/2015"
"0",291036.709000349,"31/10/2015"
"1",161934.272999287,"31/10/2015"
"0",346578.691002131,"01/11/2015"
"1",197259.126000404,"01/11/2015"
"0",470896.946000814,"02/11/2015"
"1",310329.363998175,"02/11/2015"
"0",424529.056001186,"03/11/2015"
"1",201867.22099781,"03/11/2015"
"0",372092.535996199,"04/11/2015"
"1",196589.981997728,"04/11/2015"
"0",427335.036000252,"05/11/2015"
"1",188563.979000568,"05/11/2015"
"0",529941.810000658,"06/11/2015"
"1",233402.077997208,"06/11/2015"
"0",448512.628000021,"07/11/2015"
"1",359132.315999985,"07/11/2015"
"0",504539.577999592,"08/11/2015"
"1",391966.24200201,"08/11/2015"
"0",454170.234002113,"09/11/2015"
"1",266720.861003399,"09/11/2015"
"0",564735.885997295,"10/11/2015"
"1",254682.445001364,"10/11/2015"
"0",541406.319999218,"11/11/2015"
"1",290340.244999409,"11/11/2015"
"0",635369.845995903,"12/11/2015"
"1",305757.102998972,"12/11/2015"
"0",544786.108000994,"13/11/2015"
"1",285993.040999889,"13/11/2015"
"0",426469.646001101,"14/11/2015"
"1",215280.493997335,"14/11/2015"
"0",363699.548998833,"15/11/2015"
"1",276762.188998938,"15/11/2015"
"0",535354.401998997,"16/11/2015"
"1",228140.02599597,"16/11/2015"
"0",406722.105995655,"17/11/2015"
"1",208645.713000059,"17/11/2015"
"0",447641.170001507,"18/11/2015"
"1",247630.650997877,"18/11/2015"
"0",530956.716999292,"19/11/2015"
"1",221710.166000605,"19/11/2015"
"0",444715.887002945,"20/11/2015"
"1",189153.15599966,"20/11/2015"
"0",102213.840999365,"21/11/2015"
"1",58186.4069998264,"21/11/2015"
"0",59791.3479998112,"22/11/2015"
"1",24039.5029995441,"22/11/2015"
"0",421085.350000858,"23/11/2015"
"1",180585.291000843,"23/11/2015"
"0",169044.286999941,"24/11/2015"
"1",117721.796999693,"24/11/2015"
"0",399059.669998646,"25/11/2015"
"1",176031.294001579,"25/11/2015"
"0",187923.798003197,"26/11/2015"
"1",119222.309000254,"26/11/2015"
"0",340676.671001434,"27/11/2015"
"1",141678.121999025,"27/11/2015"
"0",295215.970000982,"28/11/2015"
"1",126750.626002312,"28/11/2015"
"0",271704.713001013,"29/11/2015"
"1",144664.492999792,"29/11/2015"
"0",452542.092998743,"30/11/2015"
"1",214817.541000128,"30/11/2015"
"0",472671.018002033,"01/12/2015"
"1",280855.30300045,"01/12/2015"
"0",488159.272001982,"02/12/2015"
"1",252018.168001175,"02/12/2015"
"0",387873.323001146,"03/12/2015"
"1",176899.393000364,"03/12/2015"
"0",394920.451002359,"04/12/2015"
"1",181715.134000778,"04/12/2015"
"0",275742.003998995,"05/12/2015"
"1",184724.967998743,"05/12/2015"
"0",255073.948000193,"06/12/2015"
"1",122698.790999413,"06/12/2015"
"0",262497.642000437,"07/12/2015"
"1",117914.830000877,"07/12/2015"
"0",287553.213000774,"08/12/2015"
"1",190821.305000067,"08/12/2015"
"0",434094.090002775,"09/12/2015"
"1",259186.427999258,"09/12/2015"
"0",456405.456999063,"10/12/2015"
"1",204867.309001684,"10/12/2015"
"0",420245.246998787,"11/12/2015"
"1",242395.185002089,"11/12/2015"
"0",279595.368000984,"12/12/2015"
"1",169290.984000683,"12/12/2015"
"0",188821.11700201,"13/12/2015"
"1",148818.35900116,"13/12/2015"
"0",197374.055999756,"14/12/2015"
"1",110180.323001146,"14/12/2015"
"0",371197.772997856,"15/12/2015"
"1",209292.069000483,"15/12/2015"
"0",445413.273004055,"16/12/2015"
"1",170318.48400116,"16/12/2015"
"0",255194.278002739,"17/12/2015"
"1",139494.622998953,"17/12/2015"
"0",344667.184995651,"18/12/2015"
"1",159634.69300127,"18/12/2015"
"0",177857.863001108,"19/12/2015"
"1",94025.5360007286,"19/12/2015"
"0",181895.555000782,"20/12/2015"
"1",107663.471000195,"20/12/2015"
"0",371337.617997408,"21/12/2015"
"1",170653.221998692,"21/12/2015"
"0",265410.718997955,"22/12/2015"
