"sexo","edad","tiempo","fecha"
"0","(0,18]",1285.96000003815,"16/07/2015"
"0","(18,30]",67889.396999836,"16/07/2015"
"0","(30,45]",244639.178998709,"16/07/2015"
"0","(45,60]",268553.352999687,"16/07/2015"
"0","(60,Inf]",120405.863000631,"16/07/2015"
"1","(18,30]",71419.0759992599,"16/07/2015"
"1","(30,45]",138815.79300046,"16/07/2015"
"1","(45,60]",143704.871000767,"16/07/2015"
"1","(60,Inf]",20473.0819997787,"16/07/2015"
"0","(0,18]",1282.12599992752,"17/07/2015"
"0","(18,30]",93054.4200005531,"17/07/2015"
"0","(30,45]",173439.024999857,"17/07/2015"
"0","(45,60]",168133.362998486,"17/07/2015"
"0","(60,Inf]",88554.2660000324,"17/07/2015"
"1","(18,30]",33456.8709995747,"17/07/2015"
"1","(30,45]",195928.04899931,"17/07/2015"
"1","(45,60]",99695.237998724,"17/07/2015"
"1","(60,Inf]",12004.9110000134,"17/07/2015"
"0","(0,18]",7212.26399970055,"18/07/2015"
"0","(18,30]",34841.4850003719,"18/07/2015"
"0","(30,45]",120493.591000557,"18/07/2015"
"0","(45,60]",132548.319997787,"18/07/2015"
"0","(60,Inf]",89558.6310012341,"18/07/2015"
"1","(18,30]",31779.6869997978,"18/07/2015"
"1","(30,45]",176189.503999472,"18/07/2015"
"1","(45,60]",93608.1529991627,"18/07/2015"
"1","(60,Inf]",44803.1779999733,"18/07/2015"
"0","(18,30]",69155.9479997158,"19/07/2015"
"0","(30,45]",182731.823000431,"19/07/2015"
"0","(45,60]",145032.944998503,"19/07/2015"
"0","(60,Inf]",53749.5689988136,"19/07/2015"
"1","(0,18]",3876.34699988365,"19/07/2015"
"1","(18,30]",47202.498000145,"19/07/2015"
"1","(30,45]",126970.818000555,"19/07/2015"
"1","(45,60]",56689.9840004444,"19/07/2015"
"1","(60,Inf]",41402.2179996967,"19/07/2015"
"0","(0,18]",12663.3020002842,"20/07/2015"
"0","(18,30]",78991.1510009766,"20/07/2015"
"0","(30,45]",217947.216001034,"20/07/2015"
"0","(45,60]",207728.434001446,"20/07/2015"
"0","(60,Inf]",120028.286999702,"20/07/2015"
"1","(0,18]",974.94000005722,"20/07/2015"
"1","(18,30]",53883.6789996624,"20/07/2015"
"1","(30,45]",197818.822998762,"20/07/2015"
"1","(45,60]",120361.709000349,"20/07/2015"
"1","(60,Inf]",20789.2239999771,"20/07/2015"
"0","(0,18]",4542.93299984932,"21/07/2015"
"0","(18,30]",126951.135000467,"21/07/2015"
"0","(30,45]",254180.129001141,"21/07/2015"
"0","(45,60]",218987.134999037,"21/07/2015"
"0","(60,Inf]",141433.444999933,"21/07/2015"
"1","(18,30]",61555.8189997673,"21/07/2015"
"1","(30,45]",152831.736000299,"21/07/2015"
"1","(45,60]",158157.477000952,"21/07/2015"
"1","(60,Inf]",13060.2030000687,"21/07/2015"
"0","(0,18]",70009.5799999237,"22/07/2015"
"0","(18,30]",132423.398999929,"22/07/2015"
"0","(30,45]",211064.535999298,"22/07/2015"
"0","(45,60]",253536.160997868,"22/07/2015"
"0","(60,Inf]",172702.572000265,"22/07/2015"
"1","(18,30]",53119.7060005665,"22/07/2015"
"1","(30,45]",182146.652001619,"22/07/2015"
"1","(45,60]",221078.334998369,"22/07/2015"
"1","(60,Inf]",22567.3070001602,"22/07/2015"
"0","(0,18]",3961.72999978065,"23/07/2015"
"0","(18,30]",111739.242000103,"23/07/2015"
"0","(30,45]",226419.437996149,"23/07/2015"
"0","(45,60]",230595.376999617,"23/07/2015"
"0","(60,Inf]",127247.029001474,"23/07/2015"
"1","(0,18]",1307.58000016212,"23/07/2015"
"1","(18,30]",46259.9329993725,"23/07/2015"
"1","(30,45]",235802.962999582,"23/07/2015"
"1","(45,60]",137514.150000572,"23/07/2015"
"1","(60,Inf]",28899.9600000381,"23/07/2015"
"0","(18,30]",45626.392001152,"24/07/2015"
"0","(30,45]",142350.51499939,"24/07/2015"
"0","(45,60]",214529.994999886,"24/07/2015"
"0","(60,Inf]",73131.9529998302,"24/07/2015"
"1","(0,18]",584.024000167847,"24/07/2015"
"1","(18,30]",29999.4389998913,"24/07/2015"
"1","(30,45]",105691.251000643,"24/07/2015"
"1","(45,60]",54585.1149995327,"24/07/2015"
"1","(60,Inf]",7906.09999966621,"24/07/2015"
"0","(18,30]",39930.1199994087,"25/07/2015"
"0","(30,45]",153778.752999544,"25/07/2015"
"0","(45,60]",153390.658000231,"25/07/2015"
"0","(60,Inf]",114031.590999842,"25/07/2015"
"1","(18,30]",22807.1729998589,"25/07/2015"
"1","(30,45]",120468.590000391,"25/07/2015"
"1","(45,60]",127340.165999413,"25/07/2015"
"1","(60,Inf]",19957.3570005894,"25/07/2015"
"0","(18,30]",16229.3449997902,"26/07/2015"
"0","(30,45]",137533.016000509,"26/07/2015"
"0","(45,60]",106969.997999907,"26/07/2015"
"0","(60,Inf]",57131.1719999313,"26/07/2015"
"1","(18,30]",55291.512999773,"26/07/2015"
"1","(30,45]",363257.470000744,"26/07/2015"
"1","(45,60]",34954.8280000687,"26/07/2015"
"1","(60,Inf]",9185.61899995804,"26/07/2015"
"0","(0,18]",3711.27600026131,"27/07/2015"
"0","(18,30]",81570.3359999657,"27/07/2015"
"0","(30,45]",234974.402000189,"27/07/2015"
"0","(45,60]",207538.119000912,"27/07/2015"
"0","(60,Inf]",135724.017998219,"27/07/2015"
"1","(0,18]",9745.87300014496,"27/07/2015"
"1","(18,30]",53663.5390000343,"27/07/2015"
"1","(30,45]",145158.904002666,"27/07/2015"
"1","(45,60]",90942.8599991798,"27/07/2015"
"1","(60,Inf]",13522.0759999752,"27/07/2015"
"0","(0,18]",3658.25999999046,"28/07/2015"
"0","(18,30]",61423.7050001621,"28/07/2015"
"0","(30,45]",172180.39700079,"28/07/2015"
"0","(45,60]",231339.498000145,"28/07/2015"
"0","(60,Inf]",129665.606999159,"28/07/2015"
"1","(0,18]",4254.58400011063,"28/07/2015"
"1","(18,30]",74197.9330003262,"28/07/2015"
"1","(30,45]",112869.273001194,"28/07/2015"
"1","(45,60]",95899.8619997501,"28/07/2015"
"1","(60,Inf]",18429.3410003185,"28/07/2015"
"0","(0,18]",4750.57699990273,"29/07/2015"
"0","(18,30]",97623.0599992275,"29/07/2015"
"0","(30,45]",189966.424999237,"29/07/2015"
"0","(45,60]",150536.981999636,"29/07/2015"
"0","(60,Inf]",84821.1969997883,"29/07/2015"
"1","(18,30]",59153.1430003643,"29/07/2015"
"1","(30,45]",126796.357001305,"29/07/2015"
"1","(45,60]",75061.4480009079,"29/07/2015"
"1","(60,Inf]",5142.49900007248,"29/07/2015"
"0","(0,18]",1404.27999997139,"30/07/2015"
"0","(18,30]",90237.2339997292,"30/07/2015"
"0","(30,45]",167411.002000332,"30/07/2015"
"0","(45,60]",220171.569000244,"30/07/2015"
"0","(60,Inf]",112462.829000473,"30/07/2015"
"1","(0,18]",2408.09999990463,"30/07/2015"
"1","(18,30]",61951.9950006008,"30/07/2015"
"1","(30,45]",138370.204001188,"30/07/2015"
"1","(45,60]",123556.360000134,"30/07/2015"
"1","(60,Inf]",10287.5660004616,"30/07/2015"
"0","(0,18]",2271.22099971771,"31/07/2015"
"0","(18,30]",51539.7909989357,"31/07/2015"
"0","(30,45]",169616.305000305,"31/07/2015"
"0","(45,60]",150183.057000875,"31/07/2015"
"0","(60,Inf]",92017.821000576,"31/07/2015"
"1","(18,30]",60729.0919995308,"31/07/2015"
"1","(30,45]",112047.064999819,"31/07/2015"
"1","(45,60]",99322.9799993038,"31/07/2015"
"1","(60,Inf]",15040.8840005398,"31/07/2015"
"0","(0,18]",534.444000005722,"01/08/2015"
"0","(18,30]",55811.6220002174,"01/08/2015"
"0","(30,45]",115359.720000982,"01/08/2015"
"0","(45,60]",118309.187000275,"01/08/2015"
"0","(60,Inf]",120084.043000221,"01/08/2015"
"1","(18,30]",18022.2729992867,"01/08/2015"
"1","(30,45]",105011.951000214,"01/08/2015"
"1","(45,60]",61188.0749993324,"01/08/2015"
"1","(60,Inf]",23966.6139998436,"01/08/2015"
"0","(0,18]",2930.97399997711,"02/08/2015"
"0","(18,30]",54545.9500002861,"02/08/2015"
"0","(30,45]",195416.350001097,"02/08/2015"
"0","(45,60]",141177.554000616,"02/08/2015"
"0","(60,Inf]",99339.2730000019,"02/08/2015"
"1","(18,30]",19258.300999403,"02/08/2015"
"1","(30,45]",102717.597000599,"02/08/2015"
