"tiempo","fecha"
1082521.26399899,"16/07/2015"
867990.490996361,"17/07/2015"
732232.432997942,"18/07/2015"
726812.149998188,"19/07/2015"
1039396.56100202,"20/07/2015"
1133710.89900136,"21/07/2015"
1321018.79399824,"22/07/2015"
1151513.74299645,"23/07/2015"
677520.218000174,"24/07/2015"
752260.024999142,"25/07/2015"
780552.961000681,"26/07/2015"
987249.959002018,"27/07/2015"
909915.76300168,"28/07/2015"
800636.458000422,"29/07/2015"
937107.613003016,"30/07/2015"
757163.933999538,"31/07/2015"
619540.073000431,"01/08/2015"
718251.453001738,"02/08/2015"
893552.536001921,"03/08/2015"
1145029.32900095,"04/08/2015"
788849.34700036,"05/08/2015"
1104850.77099681,"06/08/2015"
898976.313998699,"07/08/2015"
657709.567001343,"08/08/2015"
642270.811000109,"09/08/2015"
796628.224002123,"10/08/2015"
896645.041999578,"11/08/2015"
895646.523995399,"12/08/2015"
375519.145000696,"13/08/2015"
534109.948000193,"14/08/2015"
549560.293000221,"15/08/2015"
538440.315999985,"16/08/2015"
982905.411000967,"17/08/2015"
944349.816999674,"18/08/2015"
1067639.54600382,"19/08/2015"
936033.083000183,"20/08/2015"
926948.463003397,"21/08/2015"
447116.521001339,"22/08/2015"
352349.703000546,"23/08/2015"
894384.27399826,"24/08/2015"
1285062.41400242,"25/08/2015"
474057.051001072,"26/08/2015"
474594.268997431,"27/08/2015"
607687.975001574,"28/08/2015"
675681.11400032,"29/08/2015"
715566.334000826,"30/08/2015"
347038.911002398,"31/08/2015"
977656.138000011,"01/09/2015"
1106053.35399938,"02/09/2015"
1036968.56899905,"03/09/2015"
949466.374998569,"04/09/2015"
680786.401002169,"05/09/2015"
784546.396998405,"06/09/2015"
972153.038998365,"07/09/2015"
1087321.86899996,"08/09/2015"
812311.785000801,"09/09/2015"
917056.112000942,"10/09/2015"
646105.563999891,"11/09/2015"
656189.511998415,"12/09/2015"
458498.791996002,"13/09/2015"
916755.63799715,"14/09/2015"
367478.735001326,"15/09/2015"
368283.300001383,"16/09/2015"
1035844.66199589,"17/09/2015"
1125670.86200118,"18/09/2015"
848939.341000557,"19/09/2015"
874153.89199996,"20/09/2015"
912053.085000277,"21/09/2015"
697373.424993992,"22/09/2015"
778740.41299963,"23/09/2015"
1061463.67300081,"24/09/2015"
1141388.52799511,"25/09/2015"
743498.198997498,"26/09/2015"
864400.397995234,"27/09/2015"
1147542.65100384,"28/09/2015"
953739.223998547,"29/09/2015"
1116071.36300063,"30/09/2015"
984594.102998495,"01/10/2015"
968660.662995577,"02/10/2015"
689321.830999136,"03/10/2015"
610256.633001328,"04/10/2015"
427415.25300169,"05/10/2015"
668684.225001097,"06/10/2015"
847353.025000095,"07/10/2015"
1065621.44800901,"08/10/2015"
